type,size,time
vector-vector,10000,0.00652294
vector-vector,10000,1.9067e-5
vector-vector,10000,1.7531e-5
vector-vector,10000,1.8648e-5
vector-vector,10000,1.767e-5
vector-vector,10000,1.8019e-5
vector-vector,10000,1.8228e-5
vector-vector,10000,1.767e-5
vector-vector,10000,1.746e-5
vector-vector,10000,1.7321e-5
vector-vector,20000,6.6909e-5
vector-vector,20000,4.0019e-5
vector-vector,20000,4.0089e-5
vector-vector,20000,4.5327e-5
vector-vector,20000,3.967e-5
vector-vector,20000,3.96e-5
vector-vector,20000,3.953e-5
vector-vector,20000,3.967e-5
vector-vector,20000,3.9531e-5
vector-vector,20000,3.9531e-5
vector-vector,30000,5.7549e-5
vector-vector,30000,5.7969e-5
vector-vector,30000,5.7759e-5
vector-vector,30000,5.6781e-5
vector-vector,30000,5.7201e-5
vector-vector,30000,6.8165e-5
vector-vector,30000,5.7829e-5
vector-vector,30000,5.7201e-5
vector-vector,30000,5.7689e-5
vector-vector,30000,5.7619e-5
vector-vector,40000,7.4171e-5
vector-vector,40000,7.508e-5
vector-vector,40000,7.5639e-5
vector-vector,40000,7.5709e-5
vector-vector,40000,7.6686e-5
vector-vector,40000,7.7454e-5
vector-vector,40000,7.5359e-5
vector-vector,40000,7.7385e-5
vector-vector,40000,7.8152e-5
vector-vector,40000,7.9131e-5
vector-vector,50000,9.7219e-5
vector-vector,50000,9.6801e-5
vector-vector,50000,0.000101201
vector-vector,50000,0.000100572
vector-vector,50000,9.7429e-5
vector-vector,50000,9.6312e-5
vector-vector,50000,9.6801e-5
vector-vector,50000,9.6382e-5
vector-vector,50000,9.5404e-5
vector-vector,50000,9.729e-5
vector-vector,60000,0.000119639
vector-vector,60000,0.000116846
vector-vector,60000,0.000117753
vector-vector,60000,0.000119709
vector-vector,60000,0.000120896
vector-vector,60000,0.000115518
vector-vector,60000,0.000116496
vector-vector,60000,0.000116217
vector-vector,60000,0.000121036
vector-vector,60000,0.000116356
vector-vector,70000,0.000157075
vector-vector,70000,0.000140801
vector-vector,70000,0.00013696
vector-vector,70000,0.000137379
vector-vector,70000,0.000135074
vector-vector,70000,0.000137309
vector-vector,70000,0.000142058
vector-vector,70000,0.00014143
vector-vector,70000,0.000148623
vector-vector,70000,0.000138426
vector-vector,80000,0.00015889
vector-vector,80000,0.000159378
vector-vector,80000,0.000161125
vector-vector,80000,0.000164477
vector-vector,80000,0.000163709
vector-vector,80000,0.000162172
vector-vector,80000,0.000161264
vector-vector,80000,0.00016329
vector-vector,80000,0.00015889
vector-vector,80000,0.000160077
vector-vector,90000,0.00018082
vector-vector,90000,0.000198071
vector-vector,90000,0.000177817
vector-vector,90000,0.000177119
vector-vector,90000,0.000177468
vector-vector,90000,0.000178096
vector-vector,90000,0.000187037
vector-vector,90000,0.000179633
vector-vector,90000,0.000180751
vector-vector,90000,0.000178795
vector-vector,100000,0.000200096
vector-vector,100000,0.000197722
vector-vector,100000,0.000197303
vector-vector,100000,0.00019842
vector-vector,100000,0.000512149
vector-vector,100000,0.000540994
vector-vector,100000,0.000496924
vector-vector,100000,0.000497133
vector-vector,100000,0.000492524
vector-vector,100000,0.000494828
matrix-vector,500,0.006632243
matrix-vector,500,0.000623617
matrix-vector,500,0.000617331
matrix-vector,500,0.000617471
matrix-vector,500,0.000634791
matrix-vector,500,0.000623547
matrix-vector,500,0.000629064
matrix-vector,500,0.000633255
matrix-vector,500,0.000629414
matrix-vector,500,0.000665732
matrix-vector,1000,0.00191569
matrix-vector,1000,0.001781034
matrix-vector,1000,0.012429318
matrix-vector,1000,0.001095748
matrix-vector,1000,0.001068579
matrix-vector,1000,0.001097913
matrix-vector,1000,0.001092534
matrix-vector,1000,0.00177859
matrix-vector,1000,0.00183132
matrix-vector,1000,0.001918274
matrix-vector,1500,0.004543835
matrix-vector,1500,0.00396757
matrix-vector,1500,0.003824325
matrix-vector,1500,0.004319363
matrix-vector,1500,0.004030777
matrix-vector,1500,0.004241629
matrix-vector,1500,0.003889138
matrix-vector,1500,0.009128876
matrix-vector,1500,0.002791715
matrix-vector,1500,0.002653288
matrix-vector,2000,0.004796941
matrix-vector,2000,0.009633412
matrix-vector,2000,0.004786814
matrix-vector,2000,0.005145871
matrix-vector,2000,0.007338203
matrix-vector,2000,0.008441004
matrix-vector,2000,0.004899609
matrix-vector,2000,0.00484164
matrix-vector,2000,0.00473129
matrix-vector,2000,0.006184907
matrix-vector,2500,0.007291339
matrix-vector,2500,0.010656314
matrix-vector,2500,0.013711403
matrix-vector,2500,0.010754931
matrix-vector,2500,0.010623
matrix-vector,2500,0.012486029
matrix-vector,2500,0.010320795
matrix-vector,2500,0.01031388
matrix-vector,2500,0.012147855
matrix-vector,2500,0.010205905
matrix-vector,3000,0.016346601
matrix-vector,3000,0.014633733
matrix-vector,3000,0.016493339
matrix-vector,3000,0.014514093
matrix-vector,3000,0.016115216
matrix-vector,3000,0.014326917
matrix-vector,3000,0.016316639
matrix-vector,3000,0.014405071
matrix-vector,3000,0.01636504
matrix-vector,3000,0.014297514
matrix-vector,3500,0.022056933
matrix-vector,3500,0.019829819
matrix-vector,3500,0.021468167
matrix-vector,3500,0.019431302
matrix-vector,3500,0.021382331
matrix-vector,3500,0.020129929
matrix-vector,3500,0.022052393
matrix-vector,3500,0.020210107
matrix-vector,3500,0.021455316
matrix-vector,3500,0.020256343
matrix-vector,4000,0.027461427
matrix-vector,4000,0.025166776
matrix-vector,4000,0.027538253
matrix-vector,4000,0.025468284
matrix-vector,4000,0.027682755
matrix-vector,4000,0.025133252
matrix-vector,4000,0.027824674
matrix-vector,4000,0.025837607
matrix-vector,4000,0.02739829
matrix-vector,4000,0.025038128
matrix-vector,4500,0.033965928
matrix-vector,4500,0.033797052
matrix-vector,4500,0.033018875
matrix-vector,4500,0.035672861
matrix-vector,4500,0.037414435
matrix-vector,4500,0.036016692
matrix-vector,4500,0.032117567
matrix-vector,4500,0.035131098
matrix-vector,4500,0.03262378
matrix-vector,4500,0.034842932
matrix-vector,5000,0.042041311
matrix-vector,5000,0.042391637
matrix-vector,5000,0.042049482
matrix-vector,5000,0.041188613
matrix-vector,5000,0.041950657
matrix-vector,5000,0.041516939
matrix-vector,5000,0.0413753
matrix-vector,5000,0.041661582
matrix-vector,5000,0.041388012
matrix-vector,5000,0.041748814
